date,year,v1_tf,v2_labmax,v3_prop75,ni_pretax,v4_pretax,ni_exh,v5_exhouse,cap_exhouse,v6_exh_labmax,govnp,ni_bus,v7_business,v7_labmax,corp_nva,corp_ni_tf,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,housing_gross
1980-09-01,1980,76.58906016345802,84.74319787071957,82.70466344390418,2198684,74.07599273019679,2106673,77.31133403238186,14.457630586237162,85.54236941376284,379429,1747111,71.50478704558554,81.42980039619692,1489175,1286559,85.83764910897985,74.1586448872698,81.2798676384758,57.67851261620186,7.347959274015051
1980-12-01,1980,75.34792708096623,83.6074144083532,81.54254257650646,2319381,72.76618201149358,2216749,76.13514204810738,15.519077712451883,84.48092228754811,389724,1850185,70.15520069614661,80.15447103938254,1571175,1354439,84.64567248875734,72.96921094085637,79.9543346832544,56.92805556651802,7.269055538521579
1981-03-01,1981,75.41008618701768,83.56816160369229,81.52864274952364,2385216,72.93964152512812,2283113,76.2015721517069,15.554727251782982,84.44527274821702,400835,1906241,70.23943981899455,80.11295528739545,1634772,1411136,84.05965123134835,72.56033257237095,79.64917181234371,56.764266370844076,7.210153675486965
1981-06-01,1981,75.305107908388493,82.78794698069923,80.91723721262154,2426029,73.16095561924445,2333618,76.05812090924907,16.38421541143409,83.61578458856592,409657,1947296,70.10998841470429,79.16700902174091,1670799,1448191,83.49734254666684,72.37261932763906,79.69599286084782,56.75855964409379,7.266407769970797
1981-09-01,1981,74.27409270794803,81.73267658929548,79.86803061895861,2515624,72.1586771313996,2420891,74.98235153916471,17.487941423219798,82.5120585767802,419472,2024504,68.94375116077815,77.94773435863797,1725035,1495411,82.6661700361974,71.66225612813653,78.88656393920076,56.167259052016355,7.244305040241669
1981-12-01,1981,74.78849022813478,81.77034410356585,80.02488063470808,2523748,72.93945354290524,2436612,75.54785086833685,17.399405403896886,82.60059459610311,429792,2031560,69.4548032054185,77.91372147512257,1730396,1507388,82.96921562331663,72.27640378271795,79.67134331857122,56.57961022080029,7.5003311835346915
1982-03-01,1982,75.20776343823235,81.86986489478441,80.2043395306464,2530235,73.7033911869846,2456075,75.9288295349287,17.345195077511885,82.65480492248811,439701,2039922,69.86384773535458,77.96195148638036,1720946,1509886,83.40623066907038,73.17713629596744,80.70109670118129,56.99254430144542,7.683073522796175
1982-06-01,1982,74.8195275140394,81.54541538547049,79.86394341761272,2571541,73.28516247650728,2497725,75.45098039215686,17.76636739432884,82.23363260567116,448621,2070184,69.36277161836823,77.54619879199144,1746366,1533594,82.83919994470506,72.74632007265373,80.08529120674766,56.64901267822698,7.651033583459058
1982-09-01,1982,75.00867251291821,81.73003737154148,80.04969615688566,2592845,73.46929723913307,2515254,75.73569110714067,17.477797470951245,82.52220252904876,457418,2082215,69.51861359177606,77.71651822698425,1759623,1545443,82.99225529508368,72.89049984002256,80.22981819091675,56.6807395666491,7.783754801265044
1982-12-01,1982,74.94997018918731,81.96152803271298,80.20863857183156,2608090,73.55286819089832,2533150,75.72883563942128,17.186743777510216,82.81325622248978,465958,2093516,69.37453547047168,77.9466696218228,1757242,1544874,83.37903285316473,73.30242505016383,80.83521076379519,56.740572692827584,7.89784877856883
1983-03-01,1983,74.55275483116662,81.56863705934914,79.81466650230351,2662342,73.14589936229079,2586322,75.29588349787845,17.618301201474527,82.38169879852548,473929,2138173,68.91233777622297,77.4832999949022,1794390,1575482,82.85134327145597,72.7438293793434,80.2909722572494,56.56382285947649,7.906644134789269
1983-06-01,1983,74.54915212001895,81.40319577159593,79.68968485870168,2729978,72.7650918798613,2639901,75.24793543394242,17.833774827162078,82.16622517283793,481183,2183463,68.9403942269688,77.30490509800258,1856710,1616882,82.4731798609917,71.82026272277308,79.27017608936794,56.32759689891707,7.876422849063939
1983-09-01,1983,74.35610765893863,81.08927876071994,79.40598598527461,2803827,72.39408850831381,2706101,75.00847159806673,18.199283766570428,81.80071623342957,489189,2240654,68.7574252874384,76.96061060743872,1913062,1658518,82.30558848321212,71.35435234195232,78.79084699469323,56.1714561815016,7.843229499323111
1983-12-01,1983,73.85902836122929,80.77082606353726,79.04287663796026,2901738,71.92151738027347,2802140,74.47786334729885,18.552427787333965,81.44757221266603,497289,2328329,68.27578920332994,76.66382199422848,1982159,1720007,81.86402729756333,71.03703587855465,78.39462354276729,56.01577157519815,7.758589684058523
1984-03-01,1984,73.01024900959385,80.56702923102803,78.67783417566949,3025110,70.87586897666532,2913482,73.59142771432946,18.791638321431194,81.2083616785688,507719,2428955,67.36864207035536,76.50499906338322,2071233,1792677,81.00031405546008,70.10674318147693,77.19227925169832,55.45777489462347,7.567633420034888
1984-06-01,1984,72.72898034067158,80.40729259943542,78.48771453474447,3105711,70.6882578578625,2996852,73.25596993111438,19.010081245253353,80.98991875474665,518813,2499754,67.06899958955961,76.34091194573546,2116773,1835681,81.0414227744363,70.2797135073057,77.36855928126585,55.39888368135333,7.4970847978738515
1984-09-01,1984,72.504862620854,80.02004557635722,78.14124983748141,3166698,70.79352056937542,3067505,73.08274966136975,19.342168961419787,80.65783103858021,529893,2562061,66.81823734875945,75.8877325715508,2148735,1876467,80.93459677148599,70.67930666182662,77.8342783020391,55.485094897899835,7.572155692698362
1984-12-01,1984,72.55392044856882,79.76574965861266,77.9627923561017,3222303,70.8520582949524,3117462,73.23483012784118,19.485658526070246,80.51434147392976,540546,2606173,66.86133268973319,75.56896645003997,2189700,1913224,80.79780517074843,70.59610905603508,77.72711091266729,55.476305665096866,7.693943202994222
1985-03-01,1985,72.47733577364032,79.98374376277621,78.10714176549224,3286666,70.70189060890276,3179276,73.09006830485934,19.34006358680404,80.65993641319596,550270,2655884,66.7749419778876,75.83659527298632,2224826,1940270,81.08036510382576,70.71015890680889,77.84996105468082,55.445571722396934,7.668586644778598
