date,id,value
1980-06-01,p_nf_pretax_gross,9.02548128412089
1980-09-01,p_nf_pretax_gross,9.496355088709427
1980-12-01,p_nf_pretax_gross,10.40840752118612
1981-03-01,p_nf_pretax_gross,10.605577624588934
1981-06-01,p_nf_pretax_gross,10.451194735052445
1981-09-01,p_nf_pretax_gross,11.14770990757283
1981-12-01,p_nf_pretax_gross,10.251872481288796
1982-03-01,p_nf_pretax_gross,9.329856535638179
1982-06-01,p_nf_pretax_gross,9.719343291111405
1982-09-01,p_nf_pretax_gross,9.522459377537734
1982-12-01,p_nf_pretax_gross,8.795974840609114
1983-03-01,p_nf_pretax_gross,9.389392779004977
1983-06-01,p_nf_pretax_gross,10.424009475163494
1983-09-01,p_nf_pretax_gross,11.060527713161834
1983-12-01,p_nf_pretax_gross,11.43146694422573
1984-03-01,p_nf_pretax_gross,12.424707765015278
1984-06-01,p_nf_pretax_gross,12.201243462456095
1984-09-01,p_nf_pretax_gross,11.822723100095363
1984-12-01,p_nf_pretax_gross,11.890726996568635
1985-03-01,p_nf_pretax_gross,11.703752888782834
1985-06-01,p_nf_pretax_gross,11.390943899834586
1985-09-01,p_nf_pretax_gross,11.930718513426822
1985-12-01,p_nf_pretax_gross,10.754094970218398
1986-03-01,p_nf_pretax_gross,10.012458360955867
1986-06-01,p_nf_pretax_gross,9.445490010242862
1986-09-01,p_nf_pretax_gross,9.003500929409062
1986-12-01,p_nf_pretax_gross,8.91298911069624
1987-03-01,p_nf_pretax_gross,9.165492863958486
1987-06-01,p_nf_pretax_gross,9.782131482056345
1987-09-01,p_nf_pretax_gross,10.30546542018045
1987-12-01,p_nf_pretax_gross,9.981428383455684
1988-03-01,p_nf_pretax_gross,10.24637421022401
1988-06-01,p_nf_pretax_gross,10.099761398893834
1988-09-01,p_nf_pretax_gross,10.027214375988072
1988-12-01,p_nf_pretax_gross,10.531385179295754
1989-03-01,p_nf_pretax_gross,9.605926043259338
1989-06-01,p_nf_pretax_gross,9.261025093290787
1989-09-01,p_nf_pretax_gross,9.056261097834255
1989-12-01,p_nf_pretax_gross,8.38756822625452
1990-03-01,p_nf_pretax_gross,8.52450372856617
